finished	medkorrekt	hpo_id	hpo_label	definition	MANUAL PREFERED LABEL	MANUAL PREFERRED DEFINITION	OFFICIAL COMMENT	chemical_phenotype	correct_pattern	KM review	defined_class	defined_class_name	anatomical_entity	anatomical_entity_label	location	biological_process	biological_process_label	chemical_entity	chemical_entity_label	role	role_label	add_definitions	add_synonym	curator_comment	time
to do	ignore	HP:0033253	Reduced circulating interferon gamma concentration	A reduction in the concentration of interferon gamma measured in the blood circulation.				Yes	abnormallyDecreasedLevelOfChemicalEntityInLocation	OK	HP:0033253				UBERON:0000178										
done	next	HP:0033298	Abnormal circulating complement factor H related protein 1 concentration	A deviation from the normal concentration in blood of factor H-related protein 1 (FHR-1)				Yes	abnormalLevelOfChemicalEntityInBlood	OK	HP:0033298				UBERON:0000178			http://purl.obolibrary.org/obo/PR_Q03591	complement factor H-related protein 1 (human)					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000005379).	3
done	next	HP:0033299	Reduced circulating complement factor H related protein 1 concentration	Decreased level of circulating complement factor H related protein 1 concentration in the blood circulation.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0033299				UBERON:0000178			http://purl.obolibrary.org/obo/PR_Q03591	complement factor H-related protein 1 (human)					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000005379).	1
done	next	HP:0033300	Increased circulating complement factor H related protein 1 concentration	Elevated level of circulating complement factor H related protein 1 concentration in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0033300				UBERON:0000178			http://purl.obolibrary.org/obo/PR_Q03591	complement factor H-related protein 1 (human)					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000005379).	1
to do	ignore	HP:0033301	Elevated circulating 1-methylhistidine concentration	An abnormally increased level of 1-methylhistidine in the blood circulation. 1-methylhistidine is a derivative of L-histidine.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033301				UBERON:0000178										
to do	ignore	HP:0033302	Elevated circulating 4-hydroxyphenylacetic acid concentration	The concentration of 4-Hydroxyphenylacetic acid in the blood circulation is above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033302				UBERON:0000178										
done	next	HP:0033305	Abnormal circulating fetuin A concentration	Any deviation from the normal concentration of fetuin A in the blood circulation.				Yes	abnormalLevelOfChemicalEntityInBlood	OK	HP:0033305				UBERON:0000178			http://purl.obolibrary.org/obo/PR_P02765	alpha-2-HS-glycoprotein (human)					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000003862).	3
done	next	HP:0033306	Decreased circulating fetuin A concentration	A reduction below normal of fetuin A in the blood circulation.				Yes	abnormallyDecreasedLevelOfChemicalEntityInBlood	OK	HP:0033306				UBERON:0000178			http://purl.obolibrary.org/obo/PR_P02765	alpha-2-HS-glycoprotein (human)					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000003862).	1
done	next	HP:0033307	Increased circulating fetuin A concentration	An elevation above normal of fetuin A in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInBlood	OK	HP:0033307				UBERON:0000178			http://purl.obolibrary.org/obo/PR_P02765	alpha-2-HS-glycoprotein (human)					Selected human specific; species neutral term exists (http://purl.obolibrary.org/obo/PR_000003862).	1
to do	ignore	HP:0033324	Elevated circulating homovanillic acid concentration	The concentration of homovanillic acid in the blood circulation is above the upper limit of normal.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033324				UBERON:0000178										
to do	ignore	HP:0033325	Elevated circulating sebacic acid concentration	Increased concentration of sebacic acid in the blood circulation.				Yes	abnormallyIncreasedLevelOfChemicalEntityInLocation	OK	HP:0033325				UBERON:0000178										
